rank,name,position,college
1,Fernando Mendoza,QB,Indiana
2,Arvell Reese,LB,Ohio State
3,David Bailey,EDGE,Texas Tech
4,Jeremiyah Love,RB,Notre Dame
5,Sonny Styles,LB,Ohio State
6,Francis Mauigoa,OT,Miami (FL)
7,Carnell Tate,WR,Ohio State
8,Caleb Downs,S,Ohio State
9,Rueben Bain,EDGE,Miami (FL)
10,Mansoor Delane,CB,LSU
11,Spencer Fano,OT,Utah
12,Makai Lemon,WR,USC
13,Jordyn Tyson,WR,Arizona State
14,Monroe Freeling,OT,Georgia
15,Jermod McCoy,CB,Tennessee
16,Olaivavega Ioane,IOL,Penn State
17,Kenyon Sadiq,TE,Oregon
18,Dillon Thieneman,S,Oregon
19,Kadyn Proctor,OT,Alabama
20,Keldric Faulk,EDGE,Auburn
21,Akheem Mesidor,EDGE,Miami (FL)
22,Omar Cooper Jr.,WR,Indiana
23,Kevin Concepcion,WR,Texas A&M
24,Emmanuel McNeil-Warren,S,Toledo
25,Blake Miller,OT,Clemson
26,Caleb Lomu,OT,Utah
27,Denzel Boston,WR,Washington
28,Peter Woods,DL,Clemson
29,T.J. Parker,EDGE,Clemson
30,Max Iheanachor,OT,Arizona State
31,Kayden McDonald,DL,Ohio State
32,Ty Simpson,QB,Alabama
33,Colton Hood,CB,Tennessee
34,Avieon Terrell,CB,Clemson
35,Cashius Howell,EDGE,Texas A&M
36,C.J. Allen,LB,Georgia
37,Zion Young,EDGE,Missouri
38,Chris Johnson,CB,San Diego State
39,Malachi Lawrence,EDGE,UCF
40,Chase Bisontis,IOL,Texas A&M
41,Caleb Banks,DL,Florida
42,Jadarian Price,RB,Notre Dame
43,Emmanuel Pregnon,IOL,Oregon
44,Jacob Rodriguez,LB,Texas Tech
45,Brandon Cisse,CB,South Carolina
46,Christen Miller,DL,Georgia
47,R Mason Thomas,EDGE,Oklahoma
48,Eli Stowers,TE,Vanderbilt
49,Anthony Hill Jr.,LB,Texas
50,D'angelo Ponds,CB,Indiana
51,Keylan Rutledge,IOL,Georgia Tech
52,Lee Hunter,DL,Texas Tech
53,Gabe Jacas,EDGE,Illinois
54,Chris Brazzell,WR,Tennessee
55,Treydan Stukes,CB,Arizona
56,Germie Bernard,WR,Alabama
57,Chris Bell,WR,Louisville
58,Jake Golday,LB,Cincinnati
59,A.J. Haulcy,S,LSU
60,Mike Washington Jr.,RB,Arkansas
61,Josiah Trotter,LB,Missouri
62,Derrick Moore,EDGE,Michigan
63,Gennings Dunker,OT,Iowa
64,Keionte Scott,CB,Miami (FL)
65,Carson Beck,QB,Miami (FL)
66,Zachariah Branch,WR,Georgia
67,Caleb Tiernan,OT,Northwestern
68,Domonique Orange,DL,Iowa State
69,Keith Abney II,CB,Arizona State
70,Connor Lew,IOL,Auburn
71,Ted Hurst,WR,Georgia State
72,Dani Dennis-Sutton,EDGE,Penn State
73,Skyler Bell,WR,UConn
74,Max Klare,TE,Ohio State
75,Kyle Louis,LB,Pittsburgh
76,Antonio Williams,WR,Clemson
77,Elijah Sarratt,WR,Indiana
78,Malachi Fields,WR,Notre Dame
79,Gracen Halton,DL,Oklahoma
80,Romello Height,EDGE,Texas Tech
81,Joshua Josephs,EDGE,Tennessee
82,Garrett Nussmeier,QB,LSU
83,Davison Igbinosun,CB,Ohio State
84,Jaishawn Barham,LB,Michigan
85,Keyron Crawford,EDGE,Auburn
86,Oscar Delp,TE,Georgia
87,Sam Hecht,IOL,Kansas State
88,Bryce Lance,WR,North Dakota State
89,Bud Clark,S,TCU
90,Jalon Kilgore,S,South Carolina
91,Malik Muhammad,CB,Texas
92,De'Zhaun Stribling,WR,Mississippi
93,Zakee Wheatley,S,Penn State
94,Darrell Jackson Jr.,DL,Florida State
95,Kamari Ramsey,S,USC
96,Jonah Coleman,RB,Washington
